lsid,osmid_start,osmid_end
4385473,1351757376,1351757355
121272400,505557394,1353167663
422440310,30084260,1363933654
34775033,3404581455,1366886020
123460279,1376723261,1376723281
252414833,4525049466,1433561006
417106668,6669976689,1433561006
135562160,4785748537,1488733454
135562152,4785748350,1488733458
135562153,1488733600,1488733546
135562154,1488733518,1488733546
128380430,262639716,1492391582
60725981,1494166138,1494166137
190869714,5810997862,1503706773
137084494,5810997868,1503706773
862077740,4316143182,1519679323
6310764,1519916834,1519916824
142063892,1554875476,1554875511
53513811,676175324,1631953845
233023041,1662084908,1662085002
420876813,4890057421,1676904354
227020559,1677580426,1677580235
755314043,26517966,1698641344
139964395,2725058722,1773949621
125483121,4573656672,1798113352
169724098,1808854338,1808854374
24257025,262631236,1811903850
170261059,797793728,1814109165
232877383,2411873521,1815333753
170392773,2411873520,1815333753
170569198,1817431685,1817431846
170583237,1817558423,1817558425
24257488,262635588,1817800499
170978708,1820842985,1820842978
171813895,4573657342,1827904922
262419900,2680820272,1844141852
173642338,1844141857,1844141852
173982948,1847242056,1847242057
173982939,1847243956,1847243943
174440630,1851295834,1851295862
178027577,1884209631,1884209640
896163265,8330279524,1897995999
896163272,8330279545,1897995999
181454637,1918728714,1918728708
233487602,1918806591,1918806597
183820878,1942415627,1942415664
185793080,1964821400,1964821355
912425656,8476078586,1964821355
112885004,1282009168,2016681273
322198758,2074770535,2074770534
197195372,2074770533,2074770534
197211939,8000262408,2074914209
198925754,2089945870,2089945876
199863574,7755891357,2098586142
176921895,1930494323,2098586142
754342654,7397949906,2113713586
203460431,2134755050,2134755051
81104333,945204985,2136486469
75803934,894789759,2173833970
674674171,2175035369,2175035368
207308657,2175035446,2175035445
207308656,2175035475,2175035471
40941623,2299946893,2299946894
383085195,1321463239,2355248155
227837960,2364772325,2364772207
149251544,4845828048,2364772267
227944232,2365676167,2365676143
227946125,2104339741,2365930565
227831581,2368312921,2368312922
228294965,2369606853,2369606850
229967034,2385050229,2385050201
230277925,2388000373,2388000305
234962994,2430782459,2430782457
241173935,2584740144,2488731417
241433401,4718840621,2490744083
248869754,2555896790,2555896788
254304519,2600915963,2600915955
254375050,2601720191,2601720197
254375049,2601720195,2601720197
170583233,269570239,2637215036
499699723,1702558234,2666771952
275542888,2801841032,2801841031
275939819,2805914131,2805914132
260958587,2805914194,2805914195
6311888,2365023679,2809110091
707254860,6579827258,2809115209
707254861,26190685,2809115209
278603140,2829425771,2829425769
347645157,9321298977,2917499443
295372579,2990794464,2990794470
506552066,2990858305,2990858307
397223641,4000404568,3089172685
430432903,1448772568,3153505470
312432443,3182917289,3182917278
312432365,4919031893,3182917278
314360249,3204075745,3204075740
243055970,3264937358,3264937351
320180928,3266811291,3266811292
438032854,308837903,3298740197
115548000,1305104059,3374843169
274621134,2793138038,3391011721
338381676,3454580331,3454580358
338381578,3454580360,3454580358
338381674,3454580599,3454580597
338381624,3454580666,3454580597
338383209,3454597730,3454597726
34208860,3472386486,3472386482
343949472,2352405112,3507313256
350662612,3564243322,3564243323
360429717,3649748818,3649759641
360433450,3649802485,3649802487
361089513,3656089031,3656089033
361092042,3656116802,3656116800
361092207,3656116801,3656116800
361092352,3656119436,3656119437
361190649,3656977478,3656977479
361271354,3657706388,3657706389
361271365,3657706400,3657706389
361473922,3659404716,3659404715
361473912,3659404717,3659404715
361611075,3660711213,3660711211
361190642,3660711208,3660711211
369241278,3730486859,3730486860
34489606,8825251003,3783576980
34935112,3544483642,3823016688
99365856,1149300664,3831461106
81112774,3831495577,3831495592
380092672,3834387222,3834387224
676059429,6331360316,3867795963
117335592,1321463246,3867795963
384368903,3876695429,3876695431
385535544,2852860667,3888803378
386346030,3896654063,3896654061
387072584,3904123368,3904123372
50706292,26511868,3912196339
387892839,5862943655,3912196339
388845189,3920320620,3920320614
162870380,5480180844,3943758686
569945857,5480181339,3943758686
394895486,3977877713,3977877710
394992036,370059057,3978763205
395851310,3986498113,3986498111
207292917,3992084939,3992084936
115628902,1305844636,4000404615
399864238,2324428351,4025369800
230277980,2388000478,4045735436
403041583,4054245253,4054245251
403879360,4061791970,4061791967
6311221,4069205421,4069205420
179484699,1574788078,4074788267
442029377,4397191835,4074788267
406733714,498677782,4087719919
432327138,6010957961,4107994255
409318876,4112316125,4112316124
942780658,8239918058,4127531327
411014376,8032376193,4127531327
417386420,4226873328,4179416798
417385929,2459374930,4179416798
384666821,4179422423,4179422422
417386333,4179434109,4179422422
418042473,4185020719,4185020734
721598674,6769194447,4185020739
476892367,4185020743,4185020739
582338322,5566949681,4192180743
419035102,4192180747,4192180743
419323859,4194129158,4194132570
420043324,4200296938,4200296939
420094165,4200725646,4200725659
420094159,4200734557,4200734561
420359108,2977477852,4202987241
420359105,2977477852,4202987241
554938084,269351315,4230027499
423388348,4230027493,4230027499
887026787,8060440241,4230027594
424108365,4235770313,4235770094
424108400,4235770091,4235770094
383653934,1037207591,4238413434
308924213,3142119218,4249353088
426235065,4255412320,4255412321
430174513,3136829676,4294451957
430417635,4296996415,4296996416
295655815,3298124709,4301136106
431907251,4311413783,4311413784
431907261,4311413951,4311413952
293815500,2974003361,4312626998
432371224,2490744206,4314411657
438576073,4363139211,4363139212
442034350,4397256411,4397256335
722707052,4397549034,4397549029
256582495,878781145,4404538830
446422154,8920895119,4436991160
454545035,4510933752,4510933753
171814227,1827906349,4573659279
478462323,4716771596,4716771597
34353490,4838788012,4838788008
130707776,262627793,4845795885
24257136,1438811937,4845795885
494856269,4866224468,4866224469
494856267,4866224463,4866224469
204248828,4292841218,4867611999
51202323,4890056682,4890056927
759748550,4909395425,4909395426
203138105,956710253,4912406369
28117680,308851868,4912406369
24257889,4954787270,4954785774
113993522,1291897889,5005988637
529002659,5139685779,5139685780
529006335,5139712906,5139712907
529189572,5141153684,5141153685
529211788,3266811316,5141325733
529233408,5141521661,5141521680
228257916,5233489052,5233489049
886323995,5245885542,5245885313
34211125,392354555,5409845984
52530439,262627583,5412032394
569945857,5480180907,5480176779
923078050,5488848742,5488852311
355782554,5533534982,5533536741
589708613,5631306826,5631306827
589708614,5631306849,5631306850
589708615,5631306890,5631306891
594651971,5669838570,5669838571
169179036,1803431267,5669838571
592594480,5655516538,5675407942
53254122,673843581,5711627412
603152326,5726793636,5726793637
4353755,26517914,5809266079
49895894,3729589824,5951745679
437481589,1875951803,5951746273
675591507,6106745681,6104187399
655873823,6144557654,6144557337
658310002,6164838194,6164838195
34961220,5357964474,6227284557
673383093,6306088025,6306088024
25255600,1817558391,6310758484
417386298,6326448707,6326448708
675602037,6326934078,6326934080
675647344,6327357892,6327357898
227941477,436638725,6327357898
675774712,6328537771,6328537773
603501742,1369043913,6344879211
679329970,6361271709,6361271710
682386753,6390449515,6390449531
685339058,6418755552,6418755553
689189962,6465293882,6465293883
689270247,6466108293,6466108294
691173906,567600991,6485205796
679546450,6524287749,6524287748
188078756,1987035335,6536937761
696130903,1987035331,6536937761
160520096,6588254259,6588254263
34961220,33781444,6588265238
701780680,6590657811,6590657810
722707044,6779257076,6779257075
729924153,6837713611,6837713612
53144439,672577879,6837713612
438032858,3415592696,7004365089
751232939,7023152058,7023152059
754837660,7051393399,7051393330
761184897,7111701590,7111701589
