lsid,highway
432098795,service
432327138,tertiary
432327139,tertiary
432327140,secondary
432371212,service
432371213,service
432371214,service
432371215,service
432371216,service
432371217,service
432371218,service
432371219,service
432371220,service
432371221,footway
432371222,steps
432371223,footway
432371224,footway
432371225,service
432371226,service
432371227,service
432371228,service
432371229,service
432371230,service
432371231,service
432371232,service
432371233,service
432371234,service
432371235,service
432371236,service
432371237,service
432371238,service
432371239,service
432371240,service
432401127,platform
432401128,platform
432401137,path
432405965,primary
432410988,secondary
432410989,secondary
432410990,secondary
432410991,secondary
432410992,secondary
432410993,service
456012427,steps
456012428,steps
456012429,footway
456012430,footway
456012431,footway
456012443,cycleway
456012448,footway
456012449,footway
456012450,footway
456012451,footway
456012452,footway
456012453,footway
456012454,footway
456223257,footway
456223258,path
456223260,footway
456223262,footway
456223268,footway
456223272,service
456223273,service
456223274,service
456223276,service
456223277,service
456223279,residential
456223282,unclassified
456223284,unclassified
456223285,residential
456223287,service
456586936,motorway
456679833,footway
456679834,footway
458561037,service
458561038,service
458561039,service
458561040,service
458561041,service
458731214,service
458731215,service
458733786,footway
358194256,residential
358222780,service
358222781,service
358222782,service
358222783,service
358222784,service
358222785,service
358222786,service
358222787,service
358222788,service
358222789,service
358952479,pedestrian
358952480,pedestrian
359360782,pedestrian
360120964,residential
360120966,residential
360120968,service
360429716,footway
360429717,footway
360429718,footway
360429719,footway
360429720,footway
360429721,footway
360429722,footway
360429723,footway
360429724,footway
360429725,footway
360429726,footway
360429727,footway
360429728,footway
360429729,footway
360429730,footway
360429731,footway
360429732,footway
360429733,footway
360429734,footway
360429735,footway
360429736,footway
360429737,footway
360429738,footway
360431807,footway
360431808,footway
360431809,footway
360431810,footway
360431811,footway
360431812,footway
360431813,footway
360431814,footway
360431815,footway
360431816,footway
360431817,footway
360431818,footway
360431819,footway
360431820,footway
360431821,footway
360431822,footway
360431823,footway
360431824,footway
360431825,footway
360431826,footway
360431827,footway
360431828,footway
360431829,footway
360431830,footway
360431831,footway
360431832,footway
360431833,footway
360431834,footway
360431835,footway
360431836,footway
360431837,footway
360431838,footway
360431839,footway
360433204,footway
360433206,footway
360433207,footway
360433208,footway
360433209,footway
360433210,footway
360433211,footway
360433212,footway
360433213,footway
360433214,footway
360433215,footway
360433216,footway
360433217,footway
360433218,footway
360433219,footway
360433220,footway
360433221,footway
360433222,footway
360433223,footway
360433224,footway
